epoch,lr-Adam,step,train_loss_step
,0.003,0,
0,,49,14.579432487487793
0,,99,11.71497631072998
0,,149,9.502578735351562
0,,199,9.150629043579102
0,,249,9.460221290588379
0,,299,7.370784759521484
0,,349,10.355731010437012
0,,399,10.62531566619873
0,,449,10.57320785522461
0,,499,10.078302383422852
0,,549,10.805668830871582
0,,599,13.262550354003906
0,,649,6.871112823486328
0,,699,9.740254402160645
0,,749,10.306411743164062
0,,799,8.810823440551758
0,,849,9.807560920715332
0,,899,7.7163405418396
0,,949,11.25857925415039
0,,999,10.528076171875
0,,1049,8.217585563659668
0,,1099,10.475521087646484
0,,1149,9.917141914367676
0,,1199,10.942278861999512
0,,1249,9.315220832824707
0,,1299,8.777289390563965
0,,1349,8.944141387939453
0,,1399,9.965176582336426
0,,1449,12.08903980255127
0,,1499,8.134186744689941
0,,1549,6.982480525970459
0,,1599,9.491534233093262
0,,1649,11.025338172912598
0,,1699,8.635674476623535
0,,1749,8.088920593261719
0,,1799,8.112635612487793
0,,1849,8.55317211151123
0,,1899,7.839391231536865
0,,1949,7.331320285797119
0,,1999,10.010180473327637
